488.0, 504.0, 474.0, 521.0, 502.0, 505.0, 526.0, 454.0, 524.0, 491.0, 512.0, 496.0, 501.0, 524.0, 496.0, 501.0
479.0, 523.0, 476.0, 558.0, 446.0, 522.0, 500.0, 480.0, 526.0, 478.0, 523.0, 493.0, 503.0, 525.0, 493.0, 496.0
506.0, 506.0, 510.0, 489.0, 499.0, 502.0, 502.0, 501.0, 511.0, 509.0, 481.0, 502.0, 485.0, 505.0, 511.0, 507.0
497.0, 504.0, 500.0, 504.0, 495.0, 509.0, 497.0, 522.0, 479.0, 498.0, 503.0, 502.0, 498.0, 504.0, 500.0, 499.0
498.0, 506.0, 502.0, 500.0, 498.0, 504.0, 508.0, 491.0, 501.0, 515.0, 508.0, 497.0, 521.0, 483.0, 504.0, 499.0
503.0, 498.0, 496.0, 510.0, 498.0, 498.0, 499.0, 503.0, 503.0, 520.0, 499.0, 496.0, 517.0, 490.0, 508.0, 489.0
504.0, 493.0, 509.0, 503.0, 499.0, 501.0, 504.0, 503.0, 501.0, 500.0, 499.0, 498.0, 490.0, 521.0, 497.0, 505.0
496.0, 499.0, 499.0, 531.0, 472.0, 497.0, 501.0, 498.0, 511.0, 500.0, 502.0, 499.0, 507.0, 498.0, 520.0, 495.0
491.0, 507.0, 488.0, 502.0, 500.0, 504.0, 482.0, 518.0, 500.0, 510.0, 481.0, 515.0, 492.0, 512.0, 498.0, 507.0
496.0, 499.0, 503.0, 495.0, 510.0, 496.0, 502.0, 486.0, 515.0, 507.0, 495.0, 504.0, 495.0, 508.0, 499.0, 507.0
496.0, 493.0, 529.0, 485.0, 513.0, 503.0, 499.0, 498.0, 503.0, 498.0, 503.0, 512.0, 492.0, 499.0, 491.0, 508.0
503.0, 502.0, 502.0, 517.0, 501.0, 505.0, 496.0, 506.0, 498.0, 507.0, 511.0, 489.0, 499.0, 501.0, 503.0, 490.0
508.0, 499.0, 499.0, 506.0, 497.0, 505.0, 545.0, 458.0, 505.0, 492.0, 502.0, 501.0, 501.0, 496.0, 503.0, 516.0
493.0, 498.0, 513.0, 488.0, 502.0, 506.0, 495.0, 504.0, 515.0, 483.0, 503.0, 500.0, 529.0, 487.0, 491.0, 517.0
500.0, 502.0, 496.0, 503.0, 516.0, 488.0, 498.0, 509.0, 498.0, 529.0, 481.0, 501.0, 488.0, 505.0, 492.0, 509.0
501.0, 499.0, 504.0, 498.0, 502.0, 498.0, 503.0, 498.0, 504.0, 502.0, 505.0, 508.0, 490.0, 521.0, 494.0, 515.0
488.0, 505.0, 493.0, 508.0, 503.0, 501.0, 494.0, 504.0, 501.0, 504.0, 498.0, 506.0, 495.0, 536.0, 476.0, 498.0
496.0, 504.0, 489.0, 510.0, 500.0, 502.0, 500.0, 507.0, 496.0, 499.0, 503.0, 524.0, 495.0, 517.0, 494.0, 500.0
494.0, 502.0, 503.0, 493.0, 502.0, 510.0, 493.0, 509.0, 506.0, 495.0, 493.0, 506.0, 498.0, 499.0, 505.0, 499.0
